customerid,firstname,lastname,fullname,streetaddress,city,state,zipcode,email,phonenumber,firstpurchasedate,subscribedtoemaillist,gender
101811,Kenneth,Walton,Kenneth Walton,6715 Commonwealth Dr,Sacramento,CA,94256,walton.k76@fastmail.com,(916) 918-1561,5/30/2013,FALSE,M
103508,Madeleine,Jones,Madeleine Jones,3603 Leola Way,Sacramento,CA,94258,j_madeleine@gmail.com,(916) 186-9423,2/6/2013,FALSE,F
104939,Damen,Wheeler,Damen Wheeler,6740 Branwood Way,Orangevale,CA,95662,dwheeler@outlook.com,(916) 164-1156,4/11/2013,FALSE,M
105549,Kevin,Gilbert,Kevin Gilbert,3198 Livingston Way,Folsom,CA,95671,kgilbert@fastmail.com,(916) 304-9859,2/28/2013,TRUE,M
105771,John,Young,John Young,663 Westward Way,Sacramento,CA,95899,john.y90@mail.com,(916) 730-6109,9/5/2013,TRUE,M
108708,Tommy,Kono,Tommy Kono,3179 Camelia River Way,Isleton,CA,95641,tkono@outlook.com,(916) 119-3967,7/1/2012,FALSE,M
109251,Anna,Himes,Anna Himes,5507 Chimango Way,Sacramento,CA,94207,h_anna@fastmail.com,(916) 198-9609,10/26/2012,TRUE,F
110363,Marjorie,Love,Marjorie Love,3462 Mellowoods Way,Sacramento,CA,94299,lmarjorie54@icloud.com,(916) 736-1033,8/22/2013,TRUE,F
111486,Nina,Schreiner,Nina Schreiner,1182 Dornajo Way,Sacramento,CA,94239,schreiner_n@mail.com,(916) 216-1413,5/1/2013,FALSE,F
111991,Marc,Newfield,Marc Newfield,6887 Conklin Ct,Sacramento,CA,95832,mnewfield@icloud.com,(916) 418-2002,1/6/2013,TRUE,M
112690,Tom,Hanks,Tom Hanks,9375 Ahart Way,Ryde,CA,95680,hanks_t5@mail.com,(916) 165-9126,9/2/2012,FALSE,M
116690,Christian,Wellisch,Christian Wellisch,8725 Capistrano Way,Sacramento,CA,94208,wellisch.c@mail.com,(916) 811-7804,2/27/2013,FALSE,M
116934,Audrey,Tapp,Audrey Tapp,2816 West Pkwy,Sacramento,CA,94267,t_audrey94@outlook.com,(916) 711-5520,12/6/2012,TRUE,F
119406,Dallas,Braden,Dallas Braden,9638 Chambord Ct,Sacramento,CA,94204,dallas_b89@aol.com,(916) 632-6107,6/20/2013,FALSE,M
121639,D.J.,Countess,D.J. Countess,608 Alder Creek Dr,Sacramento,CA,94263,c_d.j.31@yahoo.com,(916) 705-6650,12/11/2012,TRUE,M
122818,Beatrice,Abramson,Beatrice Abramson,716 Durness Way,Sacramento,CA,94257,beatrice.a@yahoo.com,(916) 324-4893,9/14/2012,FALSE,F
127472,George,Stanich,George Stanich,4486 Gloriann Way,Ryde,CA,95680,sgeorge@fastmail.com,(916) 161-3581,12/14/2012,TRUE,M
128131,Tim,Ocel,Tim Ocel,6962 Gardenside Ct,Sacramento,CA,95830,tim_o33@icloud.com,(916) 775-1818,5/12/2013,FALSE,M
132454,Dawn,Childress,Dawn Childress,4237 Rock House Cir N,Sacramento,CA,95825,dawnc@mail.com,(916) 622-7783,8/15/2012,FALSE,F
134457,Alice,Novak,Alice Novak,1573 Layton Dr,Sacramento,CA,94273,n.alice@outlook.com,(916) 725-1543,1/13/2013,FALSE,F
137696,Sherry,Metz,Sherry Metz,9054 Ladefonos Ct,Ryde,CA,95680,metzs@zoho.com,(916) 405-4103,9/5/2012,TRUE,F
143878,Sylvia,Finley,Sylvia Finley,4892 Waterash Way,Sacramento,CA,95821,sylviaf61@icloud.com,(916) 847-9725,8/27/2013,FALSE,F
145929,Joyce,Meadows,Joyce Meadows,3426 Cliff Breeze Pl,Sacramento,CA,95860,joycem26@gmail.com,(916) 607-8534,4/20/2013,FALSE,F
147216,Cassandra,Whyte,Cassandra Whyte,7635 Amelia Earhart Ave,Sacramento,CA,95838,c.whyte71@hotmail.com,(916) 454-6170,5/29/2013,FALSE,F
147218,Madeleine,Savoie,Madeleine Savoie,884 J St,Sacramento,CA,94229,m.savoie@aol.com,(916) 360-9980,9/14/2013,TRUE,F
147543,Bud,Stewart,Bud Stewart,211 Maple Glen Rd,Sacramento,CA,94273,bstewart@aol.com,(916) 306-2673,7/26/2012,TRUE,M
149240,Frenchy,Bordagaray,Frenchy Bordagaray,7125 Fig St,Sacramento,CA,94237,frenchy.b@outlook.com,(916) 767-7375,12/1/2012,FALSE,M
154427,Mark,McLemore,Mark McLemore,1215 Rodeo Dr,Sacramento,CA,95860,mmark@aol.com,(916) 427-5321,1/18/2013,TRUE,M
157388,David,Cooke,David Cooke,9830 Bradshaw Rd,Sacramento,CA,94288,david_c78@aol.com,(916) 884-9338,11/24/2012,FALSE,M
157695,Catherine,Doane,Catherine Doane,7530 Silent Wings Way,Sacramento,CA,94207,catherine_d44@mail.com,(916) 234-4342,3/8/2013,TRUE,F
158310,Doris,Garrett,Doris Garrett,2178 Yellowhammer Ct,Carmichael,CA,95608,garrett.d@hotmail.com,(916) 637-6027,9/14/2012,FALSE,F
158528,Lauren,McFall,Lauren McFall,7229 Calle Verde Ct,Sacramento,CA,95813,mcfall_l@fastmail.com,(916) 631-0207,5/31/2013,TRUE,F
160392,Randall,Bal,Randall Bal,136 Marble Crest Ct,Courtland,CA,95615,randall_b@mail.com,(916) 745-1867,7/23/2012,FALSE,M
161175,Adam,Jennings,Adam Jennings,1063 Wintermist Ct,Sacramento,CA,95813,jennings_a@hotmail.com,(916) 920-8314,8/1/2013,FALSE,M
161942,Harvey,Nitz,Harvey Nitz,8146 Meghan Way,Sacramento,CA,94254,harvey.n@mail.com,(916) 847-7490,8/15/2012,FALSE,M
162236,Naomi,Donald,Naomi Donald,3661 Symphony Ct,Sacramento,CA,94206,dnaomi1@fastmail.com,(916) 873-6274,1/2/2013,TRUE,F
166135,Adam,Jahn,Adam Jahn,138 Petaluma Ct,Folsom,CA,95763,adam.j@gmail.com,(916) 414-1121,7/9/2012,FALSE,M
166612,Eric,Hansen,Eric Hansen,809 Rancho Roble Way,Sacramento,CA,94284,ehansen@icloud.com,(916) 926-3079,7/4/2012,FALSE,M
166735,Susan,Howard,Susan Howard,9290 Winoco Ct,Sacramento,CA,94279,showard45@mail.com,(916) 994-3095,1/10/2013,FALSE,F
168607,Angela,Metzger,Angela Metzger,4482 Stillwater Way,Sacramento,CA,94239,angela.m@icloud.com,(916) 718-6376,3/23/2013,FALSE,F
170500,Violet,Ramey,Violet Ramey,2398 Brand Way,Sacramento,CA,95853,rameyv72@outlook.com,(916) 185-1028,11/1/2012,FALSE,F
173125,Timothy,Busfield,Timothy Busfield,7453 Halo Ave,Sacramento,CA,95866,b_timothy@hotmail.com,(916) 944-4071,7/27/2013,FALSE,M
173380,Charles,Mann,Charles Mann,3691 Fox Hollow Ln,Citrus Heights,CA,95611,charlesm7@gmail.com,(916) 808-5313,5/24/2013,FALSE,M
175871,Larry,Linville,Larry Linville,4792 Butterfield Way,Sacramento,CA,95899,llarry@mail.com,(916) 602-0788,11/5/2012,TRUE,M
175940,Derek,Miles,Derek Miles,4409 Brook Bay Way,Walnut Grove,CA,95690,mderek@icloud.com,(916) 920-3277,7/19/2012,FALSE,M
178806,Mary,Whipple,Mary Whipple,8552 Meadowglen Ave,Sacramento,CA,94205,mary.w@icloud.com,(916) 334-1354,3/18/2013,FALSE,F
182040,Matt,Walbeck,Matt Walbeck,910 Garner Ct,Sacramento,CA,94232,mwalbeck@yahoo.com,(916) 626-7780,4/19/2013,FALSE,M
183797,Maxine,Hamer,Maxine Hamer,383 Colonsay Way,Rancho Cordova,CA,95741,maxineh6@mail.com,(916) 760-1573,11/11/2012,FALSE,F
185863,Constance,Gonzalez,Constance Gonzalez,1684 Country Haven Ct,Elk Grove,CA,95624,c.gonzalez@aol.com,(916) 530-7548,6/11/2013,TRUE,F
186353,Edith,Hutton,Edith Hutton,5581 Merton Way,Sacramento,CA,95815,edith.h@mail.com,(916) 231-7479,4/25/2013,FALSE,F
189441,Jim,Loscutoff,Jim Loscutoff,1526 Holiday Cove Ct,Sacramento,CA,94252,l_jim@outlook.com,(916) 758-2944,4/28/2013,TRUE,M
189953,Brenda,Song,Brenda Song,7324 Moddison Ave,Carmichael,CA,95608,sbrenda@gmail.com,(916) 764-0472,8/11/2012,FALSE,F
190721,Priscilla,Oliver,Priscilla Oliver,1339 Loazell Ct,Sacramento,CA,95823,o.priscilla@aol.com,(916) 437-6201,10/22/2012,FALSE,F
191050,Charlene,Boss,Charlene Boss,9938 Longridge Way,Sacramento,CA,95864,boss.c@icloud.com,(916) 691-8473,9/12/2013,FALSE,F
191951,Megan,Musgrove,Megan Musgrove,3465 Pepperwood Knoll Ln,Sacramento,CA,94285,megan_m@outlook.com,(916) 636-4293,5/6/2013,FALSE,F
192738,Steve,Sax,Steve Sax,3117 Glacken Way,Sacramento,CA,94257,steve.s@aol.com,(916) 626-8021,5/20/2013,FALSE,M
193914,Toni,Storey,Toni Storey,6919 Middle River Ct,Sacramento,CA,94262,t_storey37@gmail.com,(916) 273-0311,5/4/2013,FALSE,F
193968,Marjorie,Pettus,Marjorie Pettus,2049 Meadowbrook Rd,Sacramento,CA,94294,p_marjorie@yahoo.com,(916) 926-9258,10/13/2012,FALSE,F
194680,Sasha,Victorine,Sasha Victorine,2258 Bowie Ct,Courtland,CA,95615,victorine.s@mail.com,(916) 126-2016,4/7/2013,FALSE,M
196068,Theresa,Mireles,Theresa Mireles,1869 Bulwick Ct,Sacramento,CA,95816,m_theresa83@mail.com,(916) 930-1409,7/5/2013,TRUE,F
197102,Renee,Galyan,Renee Galyan,8918 Mossy Bank Dr,Sacramento,CA,94207,g_renee59@yahoo.com,(916) 574-6429,7/11/2013,TRUE,F
199895,Philip,Levine,Philip Levine,6467 Ferragamo Way,Sacramento,CA,95835,lphilip24@yahoo.com,(916) 426-0676,10/7/2012,FALSE,M
200272,Jane,O'Neill,Jane O'Neill,3709 Sunfaire Ln,Mather,CA,95655,ojane@hotmail.com,(916) 347-7544,3/7/2013,TRUE,F
202612,LeVar,Burton,LeVar Burton,9224 Belladonna Ct,Sacramento,CA,94271,b_levar@mail.com,(916) 123-3788,7/17/2013,FALSE,M
203787,Amanda,Kershaw,Amanda Kershaw,4297 Ewing Way,Sacramento,CA,95832,kamanda31@gmail.com,(916) 188-3840,11/3/2012,FALSE,F
204295,Opal,Barnette,Opal Barnette,8828 Ost Pl,Sacramento,CA,94245,opalb94@hotmail.com,(916) 646-3176,2/12/2013,FALSE,F
205190,Lincoln,Steffens,Lincoln Steffens,61 Explorer Dr,Folsom,CA,95763,l_steffens@mail.com,(916) 692-3299,4/27/2013,FALSE,M
